Energy (eV), Intensity (a.u.)
1.409836411360190001e+00,1.440962306173082652e+02
1.409906562467629909e+00,1.593122700414196515e+02
1.409976720556610053e+00,1.516881164089436709e+02
1.410046985039810075e+00,1.783138556682941100e+02
1.410117254922879981e+00,1.136190751137126824e+02
1.410187433982400096e+00,1.592626365799913799e+02
1.410257717865099902e+00,1.402329448666970677e+02
1.410327912510910053e+00,1.364206857061481344e+02
1.410398112540639959e+00,1.630274714538161049e+02
1.410468417425909893e+00,1.440062569878396062e+02
1.410538729320579998e+00,1.363941496690026725e+02
1.410608950339500067e+00,1.439860815033169956e+02
1.410679375747160069e+00,1.591751501573095595e+02
1.410749708676489966e+00,1.401666403104576375e+02
1.410819950703930070e+00,1.667471590666816326e+02
1.410890297651729908e+00,1.477434871113191264e+02
1.410960653220709959e+00,2.084905155445508740e+02
1.411031014201109990e+00,1.553153878604227032e+02
1.411101480153849952e+00,1.287303041259337419e+02
1.411171855180650025e+00,1.401091152554932364e+02
1.411242140859380045e+00,1.514842628862798790e+02
1.411312627901269989e+00,1.704443940412613188e+02
1.411383023991070074e+00,1.590486849156871756e+02
1.411453525107339901e+00,1.628290466361207223e+02
1.411523936860830108e+00,1.438531485327943358e+02
1.411594452055860094e+00,1.476346807837524011e+02
1.411664778231080053e+00,1.400411154715792463e+02
1.411735307499129899e+00,1.703567809576929335e+02
1.411805845422479999e+00,1.400215012552246208e+02
1.411876388787510095e+00,1.816958225670928186e+02
1.411946841130579999e+00,1.551572546339473888e+02
1.412017400194770067e+00,1.665097089353524780e+02
1.412087866611779985e+00,1.551326154102982571e+02
1.412158536265059938e+00,1.248239098157780660e+02
1.412229016769849910e+00,1.588943187231621152e+02
1.412299604039819911e+00,1.285946677820483046e+02
1.412370196757759988e+00,1.399421642272440351e+02
1.412440796533090070e+00,1.702090959231531713e+02
1.412511403366879970e+00,1.512741398697666853e+02
1.412581920709170102e+00,1.512622597178689148e+02
1.412652541653399929e+00,1.436847419170721309e+02
1.412723267839099961e+00,1.739315896655818108e+02
1.412793904527130051e+00,1.512264515967892180e+02
1.412864644868909947e+00,1.247475648473957932e+02
1.412935195876509953e+00,1.738847441693324640e+02
1.413005950368610097e+00,1.700892972520058208e+02
1.413076615328650032e+00,1.473991898594489101e+02
1.413147187507739932e+00,1.587234100975134083e+02
1.413217963233460051e+00,1.889337693342368709e+02
1.413288747659759981e+00,1.473646656773953509e+02
1.413359537566269974e+00,1.511298534752888827e+02
1.413430236286550068e+00,1.246846322467417849e+02
1.413500942080140099e+00,1.548809773249498960e+02
1.413571754857340101e+00,1.661929392732328949e+02
1.413642474810709926e+00,1.624039105121257762e+02
1.413713300158069952e+00,1.888058952238494328e+02
1.413784232541950070e+00,1.510562547102879591e+02
1.413855072094869936e+00,1.472713652726639566e+02
1.413925722053039902e+00,1.585753350081741644e+02
1.413996577398479948e+00,1.585616992380937802e+02
1.414067536599949992e+00,1.660894495709030707e+02
1.414138404547089944e+00,1.321435879126584325e+02
1.414209181211379951e+00,1.547511122309711880e+02
1.414280064970059980e+00,1.698135514310218355e+02
1.414351052627859984e+00,1.697979533324591159e+02
1.414421850580070084e+00,1.396407797790636209e+02
1.414492854085910079e+00,1.773008357040058911e+02
1.414563764671270096e+00,1.546850141956510925e+02
1.414634780812400017e+00,1.735011145801771306e+02
1.414705707242839949e+00,1.320666585607507955e+02
1.414776639171620110e+00,1.584096416683276800e+02
1.414847676689009903e+00,1.583956172034650081e+02
1.414918624469789998e+00,1.546180835148836366e+02
1.414989577751629923e+00,1.583674668890312205e+02
1.415060636654930093e+00,1.433042677317241100e+02
1.415131605795679981e+00,1.621008437737634722e+02
1.415202678964980088e+00,1.545639119097518801e+02
1.415273759273750098e+00,1.695921244221597988e+02
1.415344749793999934e+00,1.808556265257838334e+02
1.415415844375220056e+00,1.432451238804311799e+02
1.415486847534789927e+00,1.357158719991293765e+02
1.415557958008559991e+00,1.507373133502786402e+02
1.415629172595529894e+00,1.319368156826109271e+02
1.415700295754179994e+00,1.957930320976586245e+02
1.415771329072319951e+00,1.694787722462075124e+02
1.415842565130210007e+00,1.394172231875214720e+02
1.415913611109490100e+00,1.469157450374657969e+02
1.415984863103540103e+00,1.731840400187212765e+02
1.416056022008340021e+00,1.318746645059933371e+02
1.416127089412009932e+00,1.769030999537362447e+02
1.416198264230200010e+00,1.506168404677532919e+02
1.416269543259049968e+00,1.581073237579120701e+02
1.416340732397830093e+00,1.655953683952501194e+02
1.416412025768960081e+00,1.280708592819159435e+02
1.416483227614580009e+00,1.618129080477439743e+02
1.416554438237330071e+00,1.617973394062391321e+02
1.416625753124949982e+00,1.580326690023836420e+02
1.416696976460519952e+00,1.692629279256993016e+02
1.416768307319820064e+00,1.580024964930398994e+02
1.416839643743619925e+00,1.617345739021193083e+02
1.416910988970639940e+00,1.429855585341241238e+02
1.416982240991280007e+00,1.504647908279677040e+02
1.417053598961020011e+00,1.729233323577006729e+02
1.417124965737720066e+00,1.504365259061638085e+02
1.417196239280970049e+00,1.541665702968776372e+02
1.417267519993919977e+00,1.728699367943312950e+02
1.417339007142550011e+00,1.765950716199733392e+02
1.417410302218170104e+00,1.616067541943864967e+02
1.417481803771799997e+00,1.353976246113249715e+02
1.417553212066750001e+00,1.690567715393798949e+02
1.417624528694430008e+00,1.391140927129903559e+02
1.417695952991399944e+00,1.353612737983440866e+02
1.417767481747060021e+00,1.652646378541405170e+02
1.417838918828759898e+00,1.390756108725904596e+02
1.417910463633329954e+00,1.540156762171378091e+02
1.417981915124979952e+00,1.465249841644116202e+02
1.418053375439850106e+00,1.726701267851431680e+02
1.418124940267919909e+00,1.726516262991892177e+02
1.418196314435570038e+00,1.614255151392023606e+02
1.418267895314279992e+00,1.838202609157037273e+02
1.418339481796859980e+00,1.539224926326078275e+02
1.418411077128890030e+00,1.725770766842604189e+02
1.418482480102680077e+00,1.426905619999786268e+02
1.418554187241579889e+00,1.576079632595144346e+02
1.418625705249749958e+00,1.650559935053133245e+02
1.418697327858410073e+00,1.799649176648801756e+02
1.418768860300869905e+00,1.836757700197447321e+02
1.418840596397610065e+00,1.687329556030298079e+02
1.418912141665070070e+00,1.836339310962130469e+02
1.418983794824000055e+00,1.575079090245679083e+02
1.419055354534159985e+00,1.686770839985204304e+02
1.419127121230250088e+00,1.537459448326758604e+02
1.419198794479439973e+00,1.574570058731779056e+02
1.419270476593190056e+00,1.574399003016132781e+02
1.419342164323849964e+00,1.760542331505193943e+02
1.419413859296799973e+00,1.797597153776923165e+02
1.419485662260129955e+00,1.834639242455534713e+02
1.419557371731150042e+00,1.573707902221573818e+02
1.419628990931000034e+00,1.759729234783869742e+02
1.419700814036529923e+00,1.796757273783504729e+02
1.419772646035500019e+00,1.908227138789180799e+02
1.419844285333720091e+00,1.535784209168236316e+02
1.419916130226170026e+00,1.684473882784729142e+02
1.419987984015870008e+00,1.833115132045923303e+02
1.420059744249670075e+00,1.535267315649306852e+02
1.420131513363179998e+00,1.609488406757378698e+02
1.420203387327100053e+00,1.832450789762363002e+02
1.420275270193340100e+00,1.720671171147950815e+02
1.420347059467280015e+00,1.311489895691180152e+02
1.420419054503740064e+00,1.608737523069218867e+02
1.420490859941490047e+00,1.645715570989476078e+02
1.420562770284550025e+00,1.794166037080996148e+02
1.420634689536280026e+00,1.793944923719873827e+02
1.420706614442790006e+00,1.533674207759881369e+02
1.420778548260509977e+00,1.347773658848740581e+02
1.420850487734889978e+00,1.793276635577904869e+02
1.420922436123019938e+00,1.644524189176092932e+02
1.420994390169699972e+00,1.644322659971458620e+02
1.421066252161200083e+00,1.681240407703920141e+02
1.421138321756070022e+00,1.681031073634160862e+02
1.421210297669410094e+00,1.792145527612684930e+02
1.421282282502869920e+00,1.754814422495859390e+02
1.421354372382759967e+00,1.791686795556416882e+02
1.421426371812199996e+00,2.013998410641848693e+02
1.421498476310109949e+00,1.642886537125119446e+02
1.421570490339979953e+00,1.568520716540540718e+02
1.421642609460370021e+00,1.642467840178440497e+02
1.421714638095100014e+00,1.938790300087792957e+02
1.421786672398759999e+00,1.642045438421228880e+02
1.421858815086459948e+00,1.901216110688735057e+02
1.421930864001309969e+00,1.752765525228200829e+02
1.422003021322939986e+00,1.678447159962629769e+02
1.422075084853440030e+00,1.678225556005581609e+02
1.422147256813449889e+00,1.603940703538229684e+02
1.422219434468229959e+00,1.825879502629744024e+02
1.422291621081170021e+00,1.603515838357198220e+02
1.422363813390790099e+00,1.529275313815685706e+02
1.422436013029410029e+00,1.640094034306800097e+02
1.422508221630039982e+00,1.898881823120363208e+02
1.422580435930199894e+00,1.861621719574795293e+02
1.422652559630120050e+00,1.787382909177928809e+02
1.422724888161090107e+00,1.787133727691515332e+02
1.422797225679429900e+00,1.454083949251945000e+02
1.422869369731009970e+00,1.786632242885837059e+02
1.422941622337329903e+00,1.749413961293015518e+02
1.423013980264290046e+00,1.564366302321950570e+02
1.423086247558229989e+00,1.675009229633228642e+02
1.423158520559320017e+00,1.416134174672158679e+02
1.423230802535250028e+00,1.600647247842349259e+02
1.423303289532019900e+00,1.748163401910299228e+02
1.423375486548630109e+00,1.895631505879555618e+02
1.423447988284409993e+00,1.784579307844520883e+02
1.423520199981809897e+00,1.710480363883544328e+02
1.423592616764669971e+00,1.784054096743751643e+02
1.423665042550350091e+00,1.709975990539142856e+02
1.423737474071089970e+00,1.968027647382788530e+02
1.423809914597230053e+00,1.598781830862604352e+02
1.423882362495370035e+00,1.487875831021845840e+02
1.423954716384280061e+00,1.745835215082078093e+02
1.424027179019490053e+00,1.671815566361021297e+02
1.424099647394539980e+00,1.892788571127281330e+02
1.424172124781450055e+00,1.855631637556846556e+02
1.424244607910130078e+00,1.781625776482593722e+02
1.424317000255340027e+00,1.781349373289876041e+02
1.424389597940080021e+00,1.891614315095247889e+02
1.424462104843930099e+00,1.817633687508258618e+02
1.424534617493389943e+00,1.927854687213681473e+02
1.424607139162479941e+00,1.780228994026202258e+02
1.424679666579089954e+00,2.000889845722470568e+02
1.424752203017920049e+00,1.779660294469430823e+02
1.424824745206199950e+00,1.558499996113624775e+02
1.424897396298550056e+00,1.815891817798883210e+02
1.424969953273180101e+00,1.778795882433639406e+02
1.425042619174829994e+00,1.815299233616070183e+02
1.425115290850140104e+00,1.778211784273641740e+02
1.425187971575810009e+00,1.557220503530223539e+02
1.425260459854909900e+00,1.556960306857378953e+02
1.425333153750550030e+00,1.667011305394686360e+02
1.425405956651019990e+00,1.924085681497308826e+02
1.425478565428859978e+00,1.519409744531878061e+02
1.425551183243179976e+00,1.555902167435370131e+02
1.425623906798680007e+00,1.996603444189605625e+02
1.425696639413650102e+00,1.628846408226101516e+02
1.425769277809449953e+00,1.665298571376914936e+02
1.425842125270400107e+00,1.922115839577448355e+02
1.425914880153819952e+00,1.517818016128062482e+02
1.425987640822520053e+00,1.958163658939367622e+02
1.426060410557199898e+00,1.847683480077727154e+02
1.426133186079100001e+00,1.773943170627037205e+02
1.426205970669599976e+00,1.736925005846969441e+02
1.426278761049240007e+00,1.956778703970098832e+02
1.426351660583329961e+00,1.736295654325607245e+02
1.426424465835500088e+00,1.846026807064892807e+02
1.426497180057809899e+00,1.955721107834804116e+02
1.426570101921720068e+00,1.845351453121108420e+02
1.426643029600090040e+00,1.991671432704956146e+02
1.426715866242290076e+00,1.844668309567682343e+02
1.426788808825030008e+00,1.624403043477772144e+02
1.426861660353760053e+00,1.990567825431570270e+02
1.426934617845450060e+00,1.733703958904328886e+02
1.427007484265280013e+00,1.879914736126501396e+02
1.427080358127339910e+00,1.879556738960913833e+02
1.427153438181760103e+00,2.025692596023162366e+02
1.427226326952000024e+00,1.805597633353376921e+02
1.427299321741259952e+00,2.098144041571265745e+02
1.427372225414009987e+00,1.878103594133468164e+02
1.427445236771460069e+00,1.658131232017646539e+02
1.427518253955089911e+00,1.657795760971563936e+02
1.427591280252660022e+00,2.023347397045002367e+02
1.427664312378370104e+00,1.840033784427970431e+02
1.427737353620649907e+00,1.949394175008550008e+02
1.427810502625169953e+00,1.729574811889403918e+02
1.427883456884619928e+00,1.692651567459022317e+02
1.427956520552650099e+00,1.728856768588111095e+02
1.428029690372589977e+00,1.728493995253874971e+02
1.428102769007079997e+00,2.312896032649763924e+02
1.428175855121470050e+00,2.093182807997110331e+02
1.428248947071840025e+00,1.910073787052640171e+02
1.428322048149309964e+00,2.055794164973551403e+02
1.428395255434949940e+00,2.164940672946513018e+02
1.428468371490370092e+00,1.981900654140223139e+02
1.428541595422230026e+00,2.492659891110104127e+02
1.428614825215549944e+00,2.236606624850269895e+02
1.428687963751750001e+00,2.053635411116984528e+02
1.428761208552469908e+00,2.016700872143465233e+02
1.428834462510099934e+00,2.235201623319339035e+02
1.428907623537450045e+00,2.052310528828945451e+02
1.428980890863150055e+00,1.942430584253703501e+02
1.429054066886880081e+00,2.233774375866594255e+02
1.429127349231519961e+00,2.050962963384108662e+02
1.429200640739689998e+00,1.977587996218128126e+02
1.429273939765629997e+00,2.013596883526932118e+02
1.429347244662880101e+00,1.976694370878079781e+02
1.429420558727640067e+00,2.194899721573538898e+02
1.429493880313640108e+00,2.012226898910287787e+02
1.429567207773920101e+00,2.048195757142739808e+02
1.429640544405690106e+00,1.683473231337690379e+02
1.429713989117809891e+00,1.974412534740818899e+02
1.429787339161850079e+00,1.828293780200015703e+02
1.429860698381369977e+00,2.082703437850186106e+02
1.429934063480110096e+00,2.155019385915840644e+02
1.430007437756990019e+00,1.826952803264606473e+02
1.430080819564369943e+00,1.935670570256845622e+02
1.430154408489139994e+00,1.898812147329374795e+02
1.430227704753560092e+00,1.934720721792027973e+02
1.430301209807820051e+00,2.297968210327536553e+02
1.430374620119319928e+00,1.897391953452788300e+02
1.430448140275869973e+00,2.115078459862769193e+02
1.430521667990569901e+00,2.005494754481972564e+02
1.430595100934459962e+00,2.332136333877382697e+02
1.430668643758429948e+00,1.931797798303962850e+02
1.430742194144049906e+00,1.967637357682395418e+02
1.430815649730790007e+00,2.403113921312771026e+02
1.430889315953699947e+00,2.148250172784526626e+02
1.430962788299680044e+00,2.220348438973499299e+02
1.431036367281500077e+00,2.582935594068154046e+02
1.431109955482130047e+00,2.509698982612125349e+02
1.431183551251399955e+00,2.073453937156505731e+02
1.431257152938469890e+00,2.326988763051346325e+02
1.431330763848360110e+00,2.181235232547258533e+02
1.431404382330399905e+00,2.071810259542498898e+02
1.431478006733230002e+00,2.397771785283545114e+02
1.431551640362900057e+00,2.143244799031012064e+02
1.431625279915359927e+00,1.997599531640662462e+02
1.431699029532399914e+00,2.105831712161976839e+02
1.431772685902739983e+00,2.214026040278728544e+02
1.431846450708069929e+00,2.213429769410381596e+02
1.431920120594740053e+00,2.249075109972366135e+02
1.431993799716289928e+00,2.538377584408132464e+02
1.432067486420520064e+00,2.429019086977438917e+02
1.432141279951899993e+00,2.355918513012113920e+02
1.432215183650749957e+00,2.246615268723524537e+02
1.432288893141020036e+00,2.209775624178178361e+02
1.432362608564079931e+00,2.462622993356577865e+02
1.432436333230070025e+00,2.425752251475798857e+02
1.432510267384490055e+00,2.497483213117371861e+02
1.432584005596770016e+00,2.460610508936496217e+02
1.432657854026190059e+00,2.387558226503048218e+02
1.432731710069639952e+00,2.603972202295233274e+02
1.432805572072719968e+00,2.567087029006443686e+02
1.432879443347599979e+00,2.566378515430490665e+02
1.432953322240049898e+00,2.927301089998996986e+02
1.433027208751239900e+00,2.637264534876073299e+02
1.433101101226089913e+00,2.600380096604457094e+02
1.433175002978140045e+00,2.455064500330138344e+02
1.433248912352480087e+00,2.779615564681616320e+02
1.433322928757430059e+00,2.670442783383092547e+02
1.433396752315760025e+00,2.452915309766138421e+02
1.433470785648629953e+00,2.560558449756820778e+02
1.433544725534150022e+00,2.379225576705851495e+02
1.433618772496040084e+00,2.414613955440916584e+02
1.433692727649370058e+00,2.702726154947861232e+02
1.433766690433240010e+00,2.340944194783295416e+02
1.433840659190849909e+00,2.520684146966545427e+02
1.433914839534019992e+00,2.375565927911063113e+02
1.433988825237320075e+00,2.446985594819743994e+02
1.434062919744220066e+00,2.085456247123265143e+02
1.434136919071020033e+00,2.337244152123192578e+02
1.434211028883179972e+00,2.372554664336317387e+02
1.434285146355060103e+00,2.371789641826698301e+02
