Energy (eV), Intensity (a.u.)
1.420275270193340100e+00,2.290628814712351016e+02
1.420347059467280015e+00,1.799491574513075136e+02
1.420419054503740064e+00,1.635639634305843231e+02
1.420490859941490047e+00,2.207759854091524403e+02
1.420562770284550025e+00,1.389848473868978260e+02
1.420634689536280026e+00,1.553111413638196439e+02
1.420706614442790006e+00,1.879781173398892520e+02
1.420778548260509977e+00,1.144031433150746153e+02
1.420850487734889978e+00,1.307255232893449488e+02
1.420922436123019938e+00,1.388736252626659109e+02
1.420994390169699972e+00,1.796900312350045112e+02
1.421066252161200083e+00,1.061634752063649785e+02
1.421138321756070022e+00,1.714673911765889329e+02
1.421210297669410094e+00,2.367503811457606844e+02
1.421282282502869920e+00,1.061124951137991559e+02
1.421354372382759967e+00,1.632238450806184744e+02
1.421426371812199996e+00,1.142384030462663702e+02
1.421498476310109949e+00,1.631715850106058099e+02
1.421570490339979953e+00,1.549881889736882385e+02
1.421642609460370021e+00,1.712753129353664860e+02
1.421714638095100014e+00,1.060105968956960112e+02
1.421786672398759999e+00,1.223003308545765861e+02
1.421858815086459948e+00,1.467369068118946416e+02
1.421930864001309969e+00,1.874671307677159859e+02
1.422003021322939986e+00,2.037359907218609294e+02
1.422075084853440030e+00,1.548145586744004731e+02
1.422147256813449889e+00,1.873771046251416976e+02
1.422219434468229959e+00,1.466194745740893666e+02
1.422291621081170021e+00,1.465959925211772372e+02
1.422363813390790099e+00,1.140008444663414622e+02
1.422436013029410029e+00,2.116819604095123566e+02
1.422508221630039982e+00,1.790868363506177161e+02
1.422580435930199894e+00,1.871971562895868146e+02
1.422652559630120050e+00,2.197180002264298366e+02
1.422724888161090107e+00,1.464552141608047293e+02
1.422797225679429900e+00,1.545668620927984023e+02
1.422869369731009970e+00,2.277462740225269044e+02
1.422941622337329903e+00,1.707823619496142840e+02
1.423013980264290046e+00,1.300990578739632042e+02
1.423086247558229989e+00,1.788575577956852669e+02
1.423158520559320017e+00,1.707003297145855356e+02
1.423230802535250028e+00,1.625457136305607264e+02
1.423303289532019900e+00,1.950236175432673349e+02
1.423375486548630109e+00,1.462442914532012708e+02
1.423447988284409993e+00,2.274547093595098204e+02
1.423520199981809897e+00,1.137091412628476945e+02
1.423592616764669971e+00,2.111403011624408919e+02
1.423665042550350091e+00,1.299116950584246126e+02
1.423737474071089970e+00,1.867181509506768577e+02
1.423809914597230053e+00,2.191557728390618536e+02
1.423882362495370035e+00,1.623116107234465062e+02
1.423954716384280061e+00,2.109713106038612693e+02
1.424027179019490053e+00,1.784856064798263162e+02
1.424099647394539980e+00,2.271271163513594331e+02
1.424172124781450055e+00,1.865388302182999496e+02
1.424244607910130078e+00,2.432725640804936802e+02
1.424317000255340027e+00,2.594491839379686553e+02
1.424389597940080021e+00,1.783427377899604380e+02
1.424462104843930099e+00,2.431557116368849734e+02
1.424534617493389943e+00,2.107011974783662254e+02
1.424607139162479941e+00,1.701544913142077746e+02
1.424679666579089954e+00,1.782285411442213388e+02
1.424752203017920049e+00,2.429999949681970293e+02
1.424824745206199950e+00,1.619740547859336175e+02
1.424897396298550056e+00,1.781429385969423720e+02
1.424969953273180101e+00,1.700182904015276790e+02
1.425042619174829994e+00,1.457066281989110621e+02
1.425115290850140104e+00,2.428055059891261465e+02
1.425187971575810009e+00,2.184899537719157365e+02
1.425260459854909900e+00,1.375457095476573102e+02
1.425333153750550030e+00,2.345992373148554861e+02
1.425405956651019990e+00,1.617666710734966102e+02
1.425478565428859978e+00,1.213055728243199951e+02
1.425551183243179976e+00,1.455433725663720850e+02
1.425623906798680007e+00,1.212667242989896863e+02
1.425696639413650102e+00,1.778293840221975586e+02
1.425769277809449953e+00,1.697190477360862815e+02
1.425842125270400107e+00,1.535307374391073836e+02
1.425914880153819952e+00,1.777439631321248612e+02
1.425987640822520053e+00,2.261833548143892472e+02
1.426060410557199898e+00,1.776870324855184435e+02
1.426133186079100001e+00,2.099601341451472081e+02
1.426205970669599976e+00,1.776301317928674735e+02
1.426278761049240007e+00,2.098928874282894412e+02
1.426351660583329961e+00,3.147889290504498376e+02
1.426424465835500088e+00,2.582469666599695302e+02
1.426497180057809899e+00,1.855852842564386549e+02
1.426570101921720068e+00,2.258937418377085180e+02
1.426643029600090040e+00,2.339239074044017173e+02
1.426715866242290076e+00,1.290407889566295410e+02
1.426788808825030008e+00,1.935301844926700880e+02
1.426861660353760053e+00,2.015616620132494461e+02
1.426934617845450060e+00,1.934682015165259372e+02
1.427007484265280013e+00,2.014971010032789138e+02
1.427080358127339910e+00,2.095234224722690328e+02
1.427153438181760103e+00,1.772606499213736129e+02
1.427226326952000024e+00,1.852882833529689321e+02
1.427299321741259952e+00,1.691491527641345556e+02
1.427372225414009987e+00,2.093892341558001817e+02
1.427445236771460069e+00,2.013035555256229259e+02
1.427518253955089911e+00,1.932204548737333312e+02
1.427591280252660022e+00,2.736851601993724898e+02
1.427664312378370104e+00,2.253516635018174554e+02
1.427737353620649907e+00,1.689866727802588855e+02
1.427810502625169953e+00,1.609139180328669738e+02
1.427883456884619928e+00,1.447993232619560899e+02
1.427956520552650099e+00,1.849917204635091537e+02
1.428029690372589977e+00,1.688784396365671512e+02
1.428102769007079997e+00,2.572973687824465969e+02
1.428175855121470050e+00,2.009813578991087297e+02
1.428248947071840025e+00,1.929112129856015940e+02
1.428322048149309964e+00,2.169903440408799042e+02
1.428395255434949940e+00,1.928494130625856826e+02
1.428468371490370092e+00,2.490572660522861383e+02
1.428541595422230026e+00,2.409845570061209798e+02
1.428614825215549944e+00,2.168513619243339576e+02
1.428687963751750001e+00,2.087863748072539920e+02
1.428761208552469908e+00,2.328398096506460035e+02
1.428834462510099934e+00,2.729408824547072072e+02
1.428907623537450045e+00,2.728971792198875619e+02
1.428980890863150055e+00,2.648283619414863779e+02
1.429054066886880081e+00,2.086192086215719712e+02
1.429127349231519961e+00,1.684731352551532950e+02
1.429200640739689998e+00,2.967860898424773382e+02
1.429273939765629997e+00,1.764391343820535099e+02
1.429347244662880101e+00,2.646163188723471080e+02
1.429420558727640067e+00,2.485391533116711855e+02
1.429493880313640108e+00,2.004026776983883451e+02
1.429567207773920101e+00,2.324298820308128199e+02
1.429640544405690106e+00,2.163655643070910912e+02
1.429713989117809891e+00,2.163309105229418492e+02
1.429787339161850079e+00,1.922633266813970465e+02
1.429860698381369977e+00,2.402906687780183006e+02
1.429934063480110096e+00,1.681765148108762844e+02
1.430007437756990019e+00,1.841638187778041242e+02
1.430080819564369943e+00,1.360992566767010601e+02
1.430154408489139994e+00,1.841048224993527924e+02
1.430227704753560092e+00,2.801146482584099431e+02
1.430301209807820051e+00,2.080518259363290099e+02
1.430374620119319928e+00,1.600142095401191114e+02
1.430448140275869973e+00,1.199914110605913891e+02
1.430521667990569901e+00,2.319463024984377171e+02
1.430595100934459962e+00,1.919247858547286114e+02
1.430668643758429948e+00,2.558587571193419024e+02
1.430742194144049906e+00,2.158462282930576350e+02
1.430815649730790007e+00,2.397907293770729495e+02
1.430889315953699947e+00,2.397523043560425435e+02
1.430962788299680044e+00,1.677996952434392881e+02
1.431036367281500077e+00,1.597836240235268690e+02
1.431109955482130047e+00,1.437822166970430260e+02
1.431183551251399955e+00,2.236254452606400775e+02
1.431257152938469890e+00,1.836628857108739794e+02
1.431330763848360110e+00,2.155697280439511303e+02
